 time            v(Ain)          v(COMPout)     
 6.29750000e-06  5.15625000e-01  1.76097984e-02 
 6.29850000e-06  5.15625000e-01  1.76096146e-02 
 6.29950000e-06  5.15625000e-01  1.76094115e-02 
 6.30050000e-06  5.15625000e-01  1.76092279e-02 
 6.30150000e-06  5.15625000e-01  1.76090249e-02 
 6.30250000e-06  5.15625000e-01  1.76088414e-02 
 6.30350000e-06  5.15625000e-01  1.76086385e-02 
 6.30450000e-06  5.15625000e-01  1.76084551e-02 
 6.30550000e-06  5.15625000e-01  1.76082523e-02 
 6.30650000e-06  5.15625000e-01  1.76080690e-02 
 6.30750000e-06  5.15625000e-01  1.76078664e-02 
 6.30850000e-06  5.15625000e-01  1.76076832e-02 
 6.30950000e-06  5.15625000e-01  1.76074807e-02 
 6.31050000e-06  5.15625000e-01  1.76072976e-02 
 6.31150000e-06  5.15625000e-01  1.76070952e-02 
 6.31250000e-06  5.15625000e-01  1.76069122e-02 
 6.31350000e-06  5.15625000e-01  1.76067099e-02 
 6.31450000e-06  5.15625000e-01  1.76065271e-02 
 6.31550000e-06  5.15625000e-01  1.76063249e-02 
 6.31650000e-06  5.15625000e-01  1.76061421e-02 
 6.31750000e-06  5.15625000e-01  1.76059400e-02 
 6.31850000e-06  5.15625000e-01  1.76057574e-02 
 6.31950000e-06  5.15625000e-01  1.76055555e-02 
 6.32050000e-06  5.15625000e-01  1.76053730e-02 
 6.32150000e-06  5.15625000e-01  1.76051711e-02 
 6.32250000e-06  5.15625000e-01  1.76049887e-02 
 6.32350000e-06  5.15625000e-01  1.76047870e-02 
 6.32450000e-06  5.15625000e-01  1.76046047e-02 
 6.32550000e-06  5.15625000e-01  1.76044030e-02 
 6.32650000e-06  5.15625000e-01  1.76042209e-02 
 6.32750000e-06  5.15625000e-01  1.76040194e-02 
 6.32850000e-06  5.15625000e-01  1.76038373e-02 
 6.32950000e-06  5.15625000e-01  1.76036359e-02 
 6.33050000e-06  5.15625000e-01  1.76034539e-02 
 6.33150000e-06  5.15625000e-01  1.76032526e-02 
 6.33250000e-06  5.15625000e-01  1.76030708e-02 
 6.33350000e-06  5.15625000e-01  1.76028696e-02 
 6.33450000e-06  5.15625000e-01  1.76026879e-02 
 6.33550000e-06  5.15625000e-01  1.76024868e-02 
 6.33650000e-06  5.15625000e-01  1.76023052e-02 
 6.33750000e-06  5.15625000e-01  1.76021043e-02 
 6.33850000e-06  5.15625000e-01  1.76019228e-02 
 6.33950000e-06  5.15625000e-01  1.76017219e-02 
 6.34050000e-06  5.15625000e-01  1.76015405e-02 
 6.34150000e-06  5.15625000e-01  1.76013398e-02 
 6.34250000e-06  5.15625000e-01  1.76011585e-02 
 6.34350000e-06  5.15625000e-01  1.76009579e-02 
 6.34450000e-06  5.15625000e-01  1.76007767e-02 
 6.34550000e-06  5.15625000e-01  1.76005762e-02 
 6.34650000e-06  5.15625000e-01  1.76003951e-02 
 6.34750000e-06  5.15625000e-01  1.76001947e-02 
 6.34850000e-06  5.15625000e-01  1.76000138e-02 
 6.34950000e-06  5.15625000e-01  1.75998135e-02 
 6.35050000e-06  5.15625000e-01  1.75996327e-02 
 6.35150000e-06  5.15625000e-01  1.75994325e-02 
 6.35250000e-06  5.15625000e-01  1.75992518e-02 
 6.35350000e-06  5.15625000e-01  1.75990517e-02 
 6.35450000e-06  5.15625000e-01  1.75988711e-02 
 6.35550000e-06  5.15625000e-01  1.75986711e-02 
 6.35650000e-06  5.15625000e-01  1.75984906e-02 
 6.35750000e-06  5.15625000e-01  1.75982908e-02 
 6.35850000e-06  5.15625000e-01  1.75981104e-02 
 6.35950000e-06  5.15625000e-01  1.75979106e-02 
 6.36050000e-06  5.15625000e-01  1.75977303e-02 
 6.36150000e-06  5.15625000e-01  1.75975307e-02 
 6.36250000e-06  5.15625000e-01  1.75973505e-02 
 6.36350000e-06  5.15625000e-01  1.75971510e-02 
 6.36450000e-06  5.15625000e-01  1.75969710e-02 
 6.36550000e-06  5.15625000e-01  1.75967716e-02 
 6.36650000e-06  5.15625000e-01  1.75965916e-02 
 6.36750000e-06  5.15625000e-01  1.75963923e-02 
 6.36850000e-06  5.15625000e-01  1.75962125e-02 
 6.36950000e-06  5.15625000e-01  1.75960133e-02 
 6.37050000e-06  5.15625000e-01  1.75958335e-02 
 6.37150000e-06  5.15625000e-01  1.75956345e-02 
 6.37250000e-06  5.15625000e-01  1.75954548e-02 
 6.37350000e-06  5.15625000e-01  1.75952559e-02 
 6.37450000e-06  5.15625000e-01  1.75950763e-02 
 6.37550000e-06  5.15625000e-01  1.75948775e-02 
 6.37650000e-06  5.15625000e-01  1.75946981e-02 
 6.37750000e-06  5.15625000e-01  1.75944994e-02 
 6.37850000e-06  5.15625000e-01  1.75943200e-02 
