 time            v(Ain)          v(SH_pos)       v(COMPout)      v(D0)           v(d1)           v(d2)           v(d3)          
 2.39312933e-05  5.47250000e-01  5.24711785e-01  7.41857917e-03  2.02917035e-07  1.61091708e-07  1.25620135e-07  1.36606408e-07 
 2.39322933e-05  5.47250000e-01  5.24711792e-01  7.41847480e-03  2.16660686e-07  1.67385501e-07  1.30870335e-07  1.56882917e-07 
 2.39332933e-05  5.47250000e-01  5.24711799e-01  7.41841759e-03  2.02914865e-07  1.61088588e-07  1.25616864e-07  1.36602548e-07 
 2.39342933e-05  5.47250000e-01  5.24711806e-01  7.41831326e-03  2.16663671e-07  1.67389741e-07  1.30875068e-07  1.56887537e-07 
 2.39352933e-05  5.47250000e-01  5.24711812e-01  7.41825610e-03  2.02912694e-07  1.61085465e-07  1.25613636e-07  1.36598714e-07 
 2.39362933e-05  5.47250000e-01  5.24711819e-01  7.41815183e-03  2.16666639e-07  1.67393995e-07  1.30879809e-07  1.56892083e-07 
 2.39372933e-05  5.47250000e-01  5.24711826e-01  7.41809471e-03  2.02910535e-07  1.61082371e-07  1.25610374e-07  1.36594950e-07 
 2.39382933e-05  5.47250000e-01  5.24711833e-01  7.41799049e-03  2.16669572e-07  1.67398209e-07  1.30884524e-07  1.56896615e-07 
 2.39392933e-05  5.47250000e-01  5.24711839e-01  7.41793341e-03  2.02908409e-07  1.61079260e-07  1.25607126e-07  1.36591164e-07 
 2.39402933e-05  5.47250000e-01  5.24711846e-01  7.41782924e-03  2.16672497e-07  1.67402444e-07  1.30889270e-07  1.56901143e-07 
 2.39412933e-05  5.47250000e-01  5.24711853e-01  7.41777222e-03  2.02906243e-07  1.61076162e-07  1.25603837e-07  1.36587389e-07 
 2.39422933e-05  5.47250000e-01  5.24711860e-01  7.41766810e-03  2.16675509e-07  1.67406660e-07  1.30894046e-07  1.56905665e-07 
 2.39432933e-05  5.47250000e-01  5.24711866e-01  7.41761112e-03  2.02904026e-07  1.61073043e-07  1.25600549e-07  1.36583639e-07 
 2.39442933e-05  5.47250000e-01  5.24711873e-01  7.41750705e-03  2.16678522e-07  1.67410913e-07  1.30898789e-07  1.56910161e-07 
 2.39452933e-05  5.47250000e-01  5.24711880e-01  7.41745012e-03  2.02901829e-07  1.61069920e-07  1.25597277e-07  1.36579885e-07 
 2.39462933e-05  5.47250000e-01  5.24711887e-01  7.41734610e-03  2.16681470e-07  1.67415192e-07  1.30903516e-07  1.56914677e-07 
 2.39472933e-05  5.47250000e-01  5.24711893e-01  7.41728921e-03  2.02899686e-07  1.61066745e-07  1.25594042e-07  1.36576118e-07 
 2.39482933e-05  5.47250000e-01  5.24711900e-01  7.41718525e-03  2.16684409e-07  1.67419466e-07  1.30908196e-07  1.56919182e-07 
 2.39492933e-05  5.47250000e-01  5.24711907e-01  7.41712841e-03  2.02897522e-07  1.61063625e-07  1.25590846e-07  1.36572358e-07 
 2.39502933e-05  5.47250000e-01  5.24711914e-01  7.41702450e-03  2.16687379e-07  1.67423692e-07  1.30912844e-07  1.56923673e-07 
 2.39512933e-05  5.47250000e-01  5.24711920e-01  7.41696770e-03  2.02895340e-07  1.61060503e-07  1.25587645e-07  1.36568591e-07 
 2.39522933e-05  5.47250000e-01  5.24711927e-01  7.41686384e-03  2.16690355e-07  1.67427943e-07  1.30917522e-07  1.56928217e-07 
 2.39532933e-05  5.47250000e-01  5.24711934e-01  7.41680708e-03  2.02893144e-07  1.61057362e-07  1.25584402e-07  1.36564833e-07 
 2.39542933e-05  5.47250000e-01  5.24711941e-01  7.41670328e-03  2.16693310e-07  1.67432197e-07  1.30922229e-07  1.56932683e-07 
 2.39552933e-05  5.47250000e-01  5.24711947e-01  7.41664657e-03  2.02891002e-07  1.61054245e-07  1.25581161e-07  1.36561116e-07 
 2.39562933e-05  5.47250000e-01  5.24711954e-01  7.41654281e-03  2.16696252e-07  1.67436423e-07  1.30926913e-07  1.56937162e-07 
 2.39572933e-05  5.47250000e-01  5.24711961e-01  7.41648615e-03  2.02888841e-07  1.61051146e-07  1.25577927e-07  1.36557337e-07 
 2.39582933e-05  5.47250000e-01  5.24711968e-01  7.41638245e-03  2.16699182e-07  1.67440633e-07  1.30931585e-07  1.56941695e-07 
 2.39592933e-05  5.47250000e-01  5.24711974e-01  7.41632583e-03  2.02886710e-07  1.61048047e-07  1.25574722e-07  1.36553566e-07 
 2.39602933e-05  5.47250000e-01  5.24711981e-01  7.41622218e-03  2.16702089e-07  1.67444846e-07  1.30936238e-07  1.56946178e-07 
 2.39612933e-05  5.47250000e-01  5.24711988e-01  7.41616560e-03  2.02884556e-07  1.61044966e-07  1.25571483e-07  1.36549838e-07 
 2.39622933e-05  5.47250000e-01  5.24711995e-01  7.41606200e-03  2.16705035e-07  1.67449036e-07  1.30940926e-07  1.56950628e-07 
 2.39632933e-05  5.47250000e-01  5.24712001e-01  7.41600548e-03  2.02882400e-07  1.61041865e-07  1.25568236e-07  1.36546139e-07 
 2.39642933e-05  5.47250000e-01  5.24712008e-01  7.41590193e-03  2.16707956e-07  1.67453265e-07  1.30945599e-07  1.56955105e-07 
 2.39652933e-05  5.47250000e-01  5.24712015e-01  7.41584544e-03  2.02880280e-07  1.61038761e-07  1.25565012e-07  1.36542346e-07 
 2.39662933e-05  5.47250000e-01  5.24712022e-01  7.41574195e-03  2.16710844e-07  1.67457444e-07  1.30950275e-07  1.56959611e-07 
 2.39672933e-05  5.47250000e-01  5.24712028e-01  7.41568551e-03  2.02878150e-07  1.61035698e-07  1.25561759e-07  1.36538590e-07 
 2.39682933e-05  5.47250000e-01  5.24712035e-01  7.41558206e-03  2.16713746e-07  1.67461654e-07  1.30954942e-07  1.56964113e-07 
 2.39692933e-05  5.47250000e-01  5.24712042e-01  7.41552567e-03  2.02876033e-07  1.61032590e-07  1.25558547e-07  1.36534809e-07 
 2.39702933e-05  5.47250000e-01  5.24712049e-01  7.41542228e-03  2.16716666e-07  1.67465846e-07  1.30959574e-07  1.56968626e-07 
 2.39712933e-05  5.47250000e-01  5.24712055e-01  7.41536592e-03  2.02873853e-07  1.61029511e-07  1.25555325e-07  1.36531046e-07 
 2.39722933e-05  5.47250000e-01  5.24712062e-01  7.41526258e-03  2.16719620e-07  1.67470058e-07  1.30964245e-07  1.56973096e-07 
 2.39732933e-05  5.47250000e-01  5.24712069e-01  7.41520627e-03  2.02871664e-07  1.61026399e-07  1.25552093e-07  1.36527312e-07 
 2.39742933e-05  5.47250000e-01  5.24712076e-01  7.41510299e-03  2.16722600e-07  1.67474265e-07  1.30968864e-07  1.56977563e-07 
 2.39752933e-05  5.47250000e-01  5.24712082e-01  7.41504672e-03  2.02869423e-07  1.61023333e-07  1.25548891e-07  1.36523595e-07 
 2.39762933e-05  5.47250000e-01  5.24712089e-01  7.41494348e-03  2.16725614e-07  1.67478400e-07  1.30973515e-07  1.56981977e-07 
 2.39772933e-05  5.47250000e-01  5.24712096e-01  7.41488727e-03  2.02867206e-07  1.61020298e-07  1.25545653e-07  1.36519895e-07 
 2.39782933e-05  5.47250000e-01  5.24712103e-01  7.41478408e-03  2.16728579e-07  1.67482608e-07  1.30978138e-07  1.56986431e-07 
 2.39792933e-05  5.47250000e-01  5.24712109e-01  7.41472791e-03  2.02864996e-07  1.61017177e-07  1.25542472e-07  1.36516153e-07 
 2.39802933e-05  5.47250000e-01  5.24712116e-01  7.41462477e-03  2.16731559e-07  1.67486807e-07  1.30982716e-07  1.56990890e-07 
 2.39812933e-05  5.47250000e-01  5.24712123e-01  7.41456864e-03  2.02862790e-07  1.61014092e-07  1.25539306e-07  1.36512438e-07 
 2.39822933e-05  5.47250000e-01  5.24712130e-01  7.41446556e-03  2.16734510e-07  1.67491006e-07  1.30987327e-07  1.56995295e-07 
 2.39832933e-05  5.47250000e-01  5.24712136e-01  7.41440947e-03  2.02860634e-07  1.61010989e-07  1.25536070e-07  1.36508778e-07 
